Sorszám;Név;Időszak;Klubok;Gól;Mérkőzés;
1;Szusza Ferenc;1940-1961;UTE,Újpesti Dózsa;393;462;
2;Zsengellér Gyula;1935-1947;Salgótarjáni BTC,UTE;387;327;
3;Schlosser Imre;1906-1927;Ferencvárosi TC,MTK;361;258;
4;Takács II József;1920-1938;Vasas SC,Ferencvárosi TC;359;221;
5;Puskás Ferenc;1943-1956;Kispesti AC,Bp. Honvéd SE;358;349;
6;Sárosi György;1931-1948;Ferencvárosi TC;351;383;
7;Szilágyi I Gyula;1943-1960;Debreceni VSC,Vasas SC;313;390;
8;Deák Ferenc;1944-1954;Szentlőrinci AC,Ferencvárosi TC,Bp. Dózsa;313;232;
9;Bene Ferenc;1961-1978;Újpesti Dózsa;303;418;
10;Toldi Géza;1927-1946;Ferencvárosi TC,Gamma FC,Szegedi AK,Zuglói MADISZ;271;324;
11;Albert Flórián;1959-1974;Ferencvárosi TC;256;351;
12;Fazekas László;1965-1980;Újpesti Dózsa;251;408;
13;Kocsis Sándor;1946-1956;Ferencvárosi TC,Bp. Honvéd SE;247;249;
14;Tichy Lajos;1953-1971;Bp. Honvéd SE;247;320;
15;Kozma Mihály;1969-1984;Szegedi AK,Bp. Honvéd SE;234;384;
